"Salutation","First Name","Last Name","Phone","Email","Store","Kiosk Type","City","State","DMA Zip","Product","Size","Language","Message","Date"
"Mr.","Ajay","Devgun","4354325453","Ajay@gmail.com","testin111g","Standard","chandigarh","Alaska","34543","12 Year Old","750ML","ENGLISH","Because flowers wilt, and whisky won't","10/20/2020 01:01 PM"
"Srita.","Pooja","Bhandaru","4354325453","Pooja@Pooja.com","testin111g","Standard","chandigarh","Alaska","54543","12 Year Old","750ML","ESPAÑOL","¡Empecemos una nueva tradición en estas fiestas!","10/21/2020 07:18 PM"
"Mr.","Gorden","Li","4354325453","Gorden@gmail.com","testin111g","Standard","chandigarh","Alaska","68586","12 Year Old","375ML","ENGLISH","Let's start a new traditionthis Holiday Season!","10/23/2020 04:57 AM"
"Mr.","Shri","Devi","4354325453","Shri@gmail.com","testin111g","Standard","chandigarh","Alaska","56767","12 Year Old","375ML","ENGLISH","Happy Holidays!","10/23/2020 05:16 PM"
"Mr.","Jitendra","Godhani","4354325453","jitendra.godhani@gmail.com","testin111g","Standard","chandigarh","Alaska","31313","12 Year Old","375ML","ENGLISH","Happy Holidays!","10/23/2020 06:11 PM"
"Mr.","Andrew","Godhani","4354325453","Andrew@gmail.com","testin111g","Standard","chandigarh","Alaska","76786","12 Year Old","375ML","ENGLISH","Happy Holidays!","10/23/2020 06:25 PM"
"Mr.","Salmaan","Khan","4354325453","Salmaan@gmail.com","testin111g","Standard","chandigarh","Alaska","44546","12 Year Old","375ML","ENGLISH","Happy Holidays!","10/23/2020 06:48 PM"
"Sr.","Bonny","Kapoor","4354325453","Bonny@gmail.com","testin111g","Standard","chandigarh","Alaska","67565","12 Year Old","375ML","ESPAÑOL","¡Felices Fiestas!","10/25/2020 12:06 PM"
"Mr.","Robert","Singh","4354325453","Robert@gmail.com","testin111g","Standard","chandigarh","Alaska","55435","12 Year Old","1.75L","ENGLISH","Let's start a new traditionthis Holiday Season!","10/26/2020 04:33 PM"
"Mr.","Muskaan","Sharma","4354325453","Muskaan@gmail.com","testin111g","Standard","chandigarh","Alaska","67567","12 Year Old","1.75L","ENGLISH","Let's start a new traditionthis Holiday Season!","10/26/2020 04:39 PM"
